user_md5	post_id	post_type	post_date	likes	comments	ads_mode	politics_mode	pos_neg_mode	tags_dummy
44532d9df81f73c4cba293f99de2e3cf	p/CQy6QPdrNOl/	image	2021-07-01	14756	50	yes	no	party_no	1
dbd1313429684accb33e0ceec9274d7b	p/CQy4-GFlCZt/	image	2021-07-01	11749	606	no	yes	party_yes_neg	0
717d66373741268b2293e72655414b72	p/CQy48E4DB4h/	image	2021-07-01	10841	99	no	no	party_no	1
fc9051ee6bee590671e57890af4adea8	p/CQy1AUPlyq3/	image	2021-07-01	5637	153	no	no	party_no	1
04c60c55696c64c0abe0c3fd65eac3a5	p/CQyzOiPM7xW/	image	2021-07-01	4139	54	no	no	party_no	1
7a775131d1c2e8d51ff2962e7002d4d6	p/CQyrc_qFObV/	image	2021-07-01	6844	86	no	no	party_no	0
30d52d191d094d0c5999ed827021e8a5	p/CQyrV9Yr3fr/	image	2021-07-01	1380	56	no	no	party_no	0
e6becd86c1252e619006b2c554bc68b1	p/CQyl3jAstWJ/	image	2021-07-01	30022	409	no	yes	party_no	0
63380ce6bc4b0ca331f8919b3615e41d	p/CQyl3k9t99_/	image	2021-07-01	108853	645	yes	no	party_no	1
d19d7a97ecc0d202614f86d575122e80	p/CQyh9gMN-ZC/	image	2021-07-01	140	0	yes	yes	party_yes_neg	0
084bc5eda4c65fe9c3483d53ea84a4f8	p/CQyf-hdDEKc/	image	2021-07-01	21823	126	no	yes	party_no	0
e3b84111a8245e22e9034fc3a83b3a3b	p/CQyfd3PMYSi/	image	2021-07-01	13236	76	no	no	party_no	1
e3709d249677e285f459ff923cb8eef2	p/CQyQayZFtUZ/	image	2021-07-01	6300	41	no	no	party_no	1
95e1ccd5a31c56d6141fd6d5d61ab17a	p/CQyDYZSMcPB/	image	2021-07-01	19176	482	yes	yes	party_yes_neg	0
999ca23c12d60d2ffe616d20886ea3d5	p/CQyAABLr5R7/	image	2021-07-01	9570	92	no	yes	party_no	1
509fd100a396a6346c9af819821e4d31	p/CQx2J0sMKV0/	image	2021-07-01	934	25	no	no	party_no	0
44532d9df81f73c4cba293f99de2e3cf	p/CQxzw_YLfKe/	image	2021-07-01	17499	92	no	yes	party_yes_neg	0
998426ae2619d42a0549fba42cf19317	p/CQxu29ZrVoB/	image	2021-07-01	0	686	yes	no	party_no	1
2901627895163b68e80ed17c4d72f13b	p/CQxtn_0s8dw/	image	2021-07-01	3445	94	yes	yes	party_yes_pos	0
0260d8d15a0c0c75ca4aad9479e7de61	p/CQxsyWVF4ZT/	image	2021-07-01	3009	23	no	no	party_no	1
46bcd29bb252a121e323f3a2c91d9e9d	p/CQ1lrBrMcQx/	image	2021-07-02	11175	255	no	yes	party_yes_pos	1
fc9051ee6bee590671e57890af4adea8	p/CQ1bBrDFJ_X/	image	2021-07-02	3692	147	no	no	party_no	1
17a5f19a99b3cf48a48b91f6808d8030	p/CQ1VL5Tlkzb/	image	2021-07-02	0	20	no	no	party_no	0
7040052f53fff5247ebb6071c14eca72	p/CQ1Rgx7Kvfj/	image	2021-07-02	1021	10	yes	no	party_no	1
f15f2f073b64cddd0ee21ba60e8dd04a	p/CQ1Lwk2rgKW/	image	2021-07-02	4669	18	no	yes	party_no	1
9280b43fc4589291743b48d67b5f8453	p/CQ1Ir-rHIw5/	image	2021-07-02	12166	54	yes	no	party_no	1
d19d7a97ecc0d202614f86d575122e80	p/CQ1HcjEIL0s/	video	2021-07-02	244	10	no	no	party_no	0
3a772b63ca0cf65622b4d5f70b364b75	p/CQ1BCETLsql/	image	2021-07-02	11364	374	no	no	party_no	0
421ce1b028eee70a26e9962a2b31829d	p/CQ0-rjJLeVn/	image	2021-07-02	10447	49	no	no	party_no	0
91527dbeb839b49f92fd2ba43724484f	p/CQ09CKIlDeU/	image	2021-07-02	679	30	yes	no	party_no	1
18bb3a1994c6ac4d5d434ebbbc9ac438	p/CQ04F4jMNPc/	image	2021-07-02	1700	20	no	no	party_no	0
bbcfea1530c4aeb2f0a00e2f94064300	p/CQ02QnUjZFE/	image	2021-07-02	3248	83	no	yes	party_yes_neg	0
509fd100a396a6346c9af819821e4d31	p/CQ0uSbdMt_f/	image	2021-07-02	1469	10	no	no	party_no	1
abb364b8fabce38da2e1212fe1445556	p/CQ0qnz7JXYS/	video	2021-07-02	15698	416	yes	no	party_no	0
d19d7a97ecc0d202614f86d575122e80	p/CQ0nS9eoYZq/	video	2021-07-02	137	8	no	no	party_no	0
5653c041dc67c29eb0f955a0e5cde4cf	p/CQ0lTOPr61C/	image	2021-07-02	60	3	no	no	party_no	0
4db79e097c0a133b2def2bf254f83dd9	p/CQ0jUw1ljnt/	image	2021-07-02	15350	901	no	yes	party_no	0
0260d8d15a0c0c75ca4aad9479e7de61	p/CQ0ibUJloZA/	image	2021-07-02	3000	25	yes	no	party_no	0
1b681edf149c774c3911235f7c94d231	p/CQ0hMiosMK_/	image	2021-07-02	0	9	no	yes	party_no	0
421ce1b028eee70a26e9962a2b31829d	p/CQ0e18UrnLY/	image	2021-07-02	4009	24	yes	no	party_no	1
e3709d249677e285f459ff923cb8eef2	p/CQ0cQSuFU3J/	image	2021-07-02	3371	12	no	no	party_no	0
7040052f53fff5247ebb6071c14eca72	p/CQ0T20uKEWh/	image	2021-07-02	4099	71	yes	no	party_no	0
bbcfea1530c4aeb2f0a00e2f94064300	p/CQ0QPCHjq5L/	image	2021-07-02	979	45	yes	no	party_no	1
e3b84111a8245e22e9034fc3a83b3a3b	tv/CQ0LVu0Kgc0/	video	2021-07-02	7916	433	yes	yes	party_yes_neg	0
04c60c55696c64c0abe0c3fd65eac3a5	p/CQ0Jen5s6bs/	image	2021-07-02	4143	74	yes	no	party_no	1
2901627895163b68e80ed17c4d72f13b	p/CQ0HR8TMym9/	image	2021-07-02	2761	93	no	yes	party_yes_pos	1
91527dbeb839b49f92fd2ba43724484f	p/CQ0FGcrFO-6/	image	2021-07-02	515	16	no	no	party_no	0
5653c041dc67c29eb0f955a0e5cde4cf	p/CQ0EEMZLOkd/	image	2021-07-02	46	0	no	yes	party_no	0
1411160f41f5bc887e062a57fe62d548	p/CQ0A96As5LA/	image	2021-07-02	249	13	no	no	party_no	1
a51f9cc0b672c20636dba6bd665f0143	p/CQ4FES5rV04/	image	2021-07-03	74170	533	yes	no	party_no	1
414fd19d3bf27f522543729f1abaf4bf	p/CQ33MhlDAG8/	image	2021-07-03	7163	128	yes	yes	party_no	1
63380ce6bc4b0ca331f8919b3615e41d	p/CQ3zAXZN0LO/	image	2021-07-03	107267	709	yes	no	party_no	1
658c73b9d87f9c9168492328fd3a1a1e	p/CQ3yNMZHfeO/	image	2021-07-03	1279	22	yes	yes	party_yes_pos	1
44532d9df81f73c4cba293f99de2e3cf	p/CQ3wYv8Ld6F/	image	2021-07-03	13008	31	yes	no	party_no	1
e3709d249677e285f459ff923cb8eef2	p/CQ3v9hNFOgN/	image	2021-07-03	2787	10	no	no	party_no	0
084bc5eda4c65fe9c3483d53ea84a4f8	p/CQ3vaUSD7mS/	image	2021-07-03	15827	121	yes	yes	party_yes_pos	1
04efabf9ee38896016be90e0a36f0116	p/CQ3uA85D9di/	image	2021-07-03	184	8	no	no	party_no	0
509fd100a396a6346c9af819821e4d31	p/CQ3oSh0sUiI/	image	2021-07-03	4243	170	no	no	party_no	1
3e55b3fc1db92c19d683086ceb419a74	p/CQ3UC6Hpb6y/	image	2021-07-03	1153	14	no	no	party_no	1
e3b84111a8245e22e9034fc3a83b3a3b	p/CQ3TL8DMqwZ/	image	2021-07-03	13081	115	no	yes	party_yes_neg	1
2535ad1b1c1c85c3245e969cda1726bd	p/CQ3Qrctrb95/	image	2021-07-03	682	13	no	no	party_no	1
18bb3a1994c6ac4d5d434ebbbc9ac438	p/CQ3MCd8sNnk/	image	2021-07-03	1397	20	no	no	party_no	1
6de3f6b28222b00127fc038bf7bb4f33	p/CQ29PeOs_v-/	image	2021-07-03	1098	9	no	yes	party_no	0
f33c10f173a676eedcf535592d3e6812	p/CQ24LEPJVkB/	image	2021-07-03	1746	45	yes	no	party_no	1
